stopid,shortname,fullname,latitude,longitude,buses
5110,Blessington Rd,Blessington Rd,53.22027389,-6.469783056,65
5111,Finnegan Park,Finnegan Park,53.16724389,-6.536228889,65
5112,Celbridge Rd,Celbridge Rd,53.362305,-6.500071944,"66B,66X"
5113,Maynooth,Maynooth,53.38176306,-6.590058056,"66X,66E,66"
5114,Straffan Rd,Straffan Rd,53.37229889,-6.589465,"66,66E,66X"
5118,Maynooth Road,Maynooth Road,53.350515,-6.544955,"67,67X"
5119,Kingswood Road,Kingswood Road,53.29789806,-6.420123889,69
5120,Kingswood Road,Kingswood Road,53.30076,-6.418611111,69
5121,Green Isle Road,Green Isle Road,53.30447,-6.413911944,69
5122,Green Isle Road,Green Isle Road,53.30697389,-6.407338889,69
5123,Green Isle Road,Green Isle Road,53.30704694,-6.406958056,69
5124,Green Isle Road,Green Isle Road,53.30428611,-6.414236944,69
5125,Kingswood Road,Kingswood Road,53.2985,-6.419425,69
5126,Rathlawns,Rathlawns,53.27733389,-6.480013889,"69,69X"
5127,Bray Road,Bray Road,53.26201556,-6.15041,"155,145"
5128,Bray Road,Bray Road,53.26552667,-6.157739167,"145,155,84X"
5129,Butterfield Ave,Butterfield Ave,53.29770861,-6.285770278,"15B,15D"
5130,Butterfield Ave,Butterfield Ave,53.29669361,-6.293326944,"15D,15B"
5131,Butterfield Ave,Butterfield Ave,53.29697444,-6.291605556,"15B,15D"
5132,Butterfield Ave,Butterfield Ave,53.29794611,-6.286660833,"15D,15B"
5133,Tymon Park Rd,Tymon Park Rd,53.29050889,-6.343046111,77A
5134,Lally Rd,Lally Rd,53.34168611,-6.330198889,"79,79A"
5135,Greystones Rd,Greystones Rd,53.17679222,-6.095416667,84
5136,Newcastle Rd,Newcastle Rd,53.07788611,-6.067386944,84
5139,Greystones Rd,Greystones Rd,53.16170972,-6.084778056,84
5140,Common St,Common St,53.35112111,-6.245513889,"747,151"
5142,Blackthorn Avenue,Blackthorn Avenue,53.27767444,-6.205174167,"116,47"
5143,Blackthorn Drive,Blackthorn Drive,53.27566694,-6.227796389,116
5144,Ratoath Road,Ratoath Road,53.37270194,-6.306181111,"120,40E"
5145,Rathbourne Avenue,Rathbourne Avenue,53.37719889,-6.326726111,120
5147,Ratoath Road,Ratoath Road,53.37259111,-6.306025,"120,40E"
5148,Kildare Road,Kildare Road,53.32494111,-6.301046944,150
5149,Errigal Rd,Errigal Rd,53.32908111,-6.323723056,"122,123"
5150,Whitehall Rd West,Whitehall Rd West,53.31557111,-6.317346944,150
5154,Grange Road,Grange Road,53.39823611,-6.156855,29A
5155,Grange Road,Grange Road,53.39833694,-6.156825,29A
5156,Grange Road,Grange Road,53.39743389,-6.146043889,29A
5157,Grange Road,Grange Road,53.39817389,-6.153823056,29A
5160,Grange Road,Grange Road,53.398495,-6.159308889,29A
5161,Kiltipper Wy,Kiltipper Wy,53.27093611,-6.371886944,"54A,77X"
5162,Kiltipper Wy,Kiltipper Wy,53.27619889,-6.37376,"77X,54A"
5164,Ballyowen Rd,Ballyowen Rd,53.350375,-6.423108056,"25B,25A"
5165,Donabate,Donabate,53.49137694,-6.139387222,"33E,33D,33"
5169,Ballymount Rd,Ballymount Rd,53.31471389,-6.353648056,56A
5171,Brehon Field Rd,Brehon Field Rd,53.27171306,-6.249526111,"16C,16"
5174,Dundaniel Road,Dundaniel Road,53.39570889,-6.2250975,27B
5175,R132,R132,53.48971917,-6.196593333,"33,33X"
5176,Rush Road,Rush Road,53.51785472,-6.119225,"33X,33,33E"
5192,Fleet Street,Fleet Street,53.34593889,-6.257805,"150,47,49,77X,69X,68A,69,68"
6000,Kilmacanogue,Kilmacanogue,53.17046722,-6.136504444,145
6001,Kingswood Ave,Kingswood Ave,53.29447639,-6.419398611,69
6002,Kingswood Ave,Kingswood Ave,53.29526972,-6.418214167,69
6003,Boot Road,Boot Road,53.30999194,-6.403648056,69
6004,Parnell Street,Parnell Street,53.35281694,-6.260718056,"40D,40B,120"
6005,Tyrrelstown,Tyrrelstown,53.4199425,-6.383453611,"40D,40E"
6006,Sandyford Rd,Sandyford Rd,53.26986611,-6.228770833,44B
6007,Sandyford Rd,Sandyford Rd,53.26976167,-6.229,44B
6010,Malahide Road,Malahide Road,53.45287722,-6.198365833,142
6011,New Nangor Road,New Nangor Road,53.32756306,-6.396485,"151,68"
6014,New Nangor Road,New Nangor Road,53.32741889,-6.397515,"68,151"
6015,Rathingle Road,Rathingle Road,53.44833583,-6.238576944,"41C,41X"
6016,Balbutcher Lane,Balbutcher Lane,53.40112194,-6.266943056,13
6017,Balbutcher Lane,Balbutcher Lane,53.40264694,-6.273341944,13
6020,Cherry Orchard Ave,Cherry Orchard Ave,53.33807,-6.37662,79A
